artisan,product name,principles,materials,processes,industrial scale items,regular price,image,url
Dabls Mbad African Bead Museum,Bone pendants - 45mm - price per pendant,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585687213548-KJRU1MDH4GU33R50D4YO/Bone+pendants+%243.00+ea+45mm.jpg,
Dabls Mbad African Bead Museum,Bone pendents,"african american civil rights, african culture, african american culture",,,,$10.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921916302-TJELPF5PZG9G90MLD4RH/Bone+pendents+%2410.00+ea+.jpg,
Dabls Mbad African Bead Museum,Bone beads - 30X40mm - price per bead,"african american civil rights, african culture, african american culture",,,,$10.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585687086118-TC0ENN5NXQWDWHO2K6M2/Bone+beads+%2410.00+ea+30X40mm+.jpg,
Dabls Mbad African Bead Museum,Hand-carved bone beads -  25mm - price per bead,"african american civil rights, african culture, african american culture",,,,$0.25,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585679245233-6P0M83HS3IG8GLMM8WAM/Hand-carved+bone+beads+%24.25+ea+25mm+.jpg,
Dabls Mbad African Bead Museum,Bone pendants,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584920893327-17XX0JEW4FKQUEQYCMIG/Bone+pendants+%242.00+ea+.jpg,
Dabls Mbad African Bead Museum,Bone pendants - 40mm - price per pendant,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585687141508-RW3WF7G2M9HQPMSPANDH/Bone+pendants+%243.00+ea+40mm+.jpg,
Dabls Mbad African Bead Museum,Bone beads - 25mm - price per bead,"african american civil rights, african culture, african american culture",,,,$0.75,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585686997023-URB70XT7M8S2EWCVKUK2/Bone+beads+%24.75+ea+25mm+.jpg,
Dabls Mbad African Bead Museum,Bone beads-price per bead,"african american civil rights, african culture, african american culture",,,,$0.30,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584920159637-RDYYDY18T7QCPU8U5STK/Bone+beads+.30+ea+.jpg,
Dabls Mbad African Bead Museum,Bone beads - 15mm - price per bead,"african american civil rights, african culture, african american culture",,,,$0.15,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585679179009-AFY2XMN5CIQSXA14KYL2/Bone+dice+beads+%24.15+ea+15mm+.jpg,
Dabls Mbad African Bead Museum,Bone beads - 15mm - price per bead,"african american civil rights, african culture, african american culture",,,,$0.75,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585679054362-VRY5RGXTS01I158L1FO6/90470480_4212265482132660_6133553975493918720_n.jpg,
Dabls Mbad African Bead Museum,Disc bone beads - price per strand,"african american civil rights, african culture, african american culture",,,,$20.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921712059-F5AOQRWZX00VJ75R79QJ/Dic+bone+beads+10+for+%242.00+.jpg,
Dabls Mbad African Bead Museum,Horn beads - 18mm - price per bead,"african american civil rights, african culture, african american culture",,,,$1.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585687627160-B4SYZQMJXCQ70Y9RQ973/Horn+beads+%241.00+ea+18mm+.jpg,
Dabls Mbad African Bead Museum,Horn beads - 24mm - price per bead,"african american civil rights, african culture, african american culture",,,,$0.75,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585687699274-KGK0FCFCJC42X2XTMDM1/Horn+beads+%24.75+ea+24mm+.jpg,
Dabls Mbad African Bead Museum,Brass tear-shaped beads - 25mm - price per bead,"african american civil rights, african culture, african american culture",,,,Sale Price:$0.75 Original Price:$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921161744-SC15GEFK94D1VQP7G26A/Brass+tear-shaped+beads+%242.00+ea+.jpg,
Dabls Mbad African Bead Museum,Brass beads - 30mm - price per bead,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921216241-9XVZWB13H7W07IMXZWV0/Brass+beads+30mm+%243.00+ea+.jpg,
Dabls Mbad African Bead Museum,Brass beads - 30mm - price per bead,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921278455-SJPP6DER0SM69DOZU1D7/Brass+beads+30mm+%243.00+ea+version+2.jpg,
Dabls Mbad African Bead Museum,Camwood beads-price per bead,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921963928-WMNJQ8IHHH55WISQV0ZW/Camwood+%242.00+ea+.jpg,
Dabls Mbad African Bead Museum,Zebrawood beads-price per bead,"african american civil rights, african culture, african american culture",,,,$1.50,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921463320-5D1T9SLT85HX8MM3K884/Zebrawood+%241.50+ea+.jpg,
Dabls Mbad African Bead Museum,Iron beads (rare) - price per bead,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921545568-3L7AB5ICDJHIAJ9JO7ST/Iron+beads+rare+%243.00+ea+bead+.jpg,
Dabls Mbad African Bead Museum,Gold leaf beads-price for 3 beads,"african american civil rights, african culture, african american culture",,,,$10.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921620525-IBKS07IJR1NFGZ7PGNTS/Gold+leaf+beads+3+for+%2410.00+.jpg,
Dabls Mbad African Bead Museum,Glass beads 25mm (rare),"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584921806155-QG21ZO1972E640PYK9GI/Copy+of+rare+glass+beads+%243.00+ea+.jpg,
Dabls Mbad African Bead Museum,Carnelian bead necklace,"african american civil rights, african culture, african american culture",,,,$89.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584922425599-62CVO23HS4JNJ2HRENN2/Carnelian+bead+necklace+%2489.00+.jpg,
Dabls Mbad African Bead Museum,Ceramic beads - 20mm - price per bead,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1585688424984-6LJRL5D6YXRTOG70547Q/Ceramic+beads+%242.00+ea+20mm+.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584922519373-5F1KX3GTBJ5U36O000ZP/Ceramic+beads+1980%27s+%242.00+ea+.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584922568709-992VEHUOLJHJ92D454KP/Ceramic+beads+1980%27s+%242.00+ea+%28part+2%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584922624636-VKMHITQPL5QEIIMCOHQQ/Ceramic+beads+1980%27s+%242.00+ea+%28part+3%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584922774869-HQIXYMEOJRE3C2SZTOV3/Ceramic+beads+1980%27s+%242.00+ea+%28part+4%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584922893729-III9J2NTXCQ5ZJBRU4O9/Ceramic+beads+1980%27s+%242.00+ea+%28part+5%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584922984069-CKJVYC6WG1ZKWMCR89SM/Ceramic+beads+1980%27s+%242.00+ea+%28Part+7%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923022703-MY8YQWWCG9XTOORM9VD4/Ceramic+beads+1980%27s+%242.00+ea+%28part+8%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923094022-EWS2MVQZ09CEBG9D9FGI/Ceramic+beads+1980%27s+%242.00+ea+%28part+9%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923134140-UAYGKQ85H9DOSIWZXYF3/Ceramic+beads+1980%27s+%242.00+ea+%28part+10%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's $2.00 ea,"african american civil rights, african culture, african american culture",,,,$2.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923250647-UA9PA00GMLG858G3J3NI/Ceramic+beads+1980%27s+%242.00+ea+%28part+12%29.jpg,
Dabls Mbad African Bead Museum,Ceramic beads 1980's,"african american civil rights, african culture, african american culture",,,,$100.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923291660-GGOEQLZBQLWJDBF75K7Z/Ceramic+beads+1980%27s+%242.00+ea+%28part+13%29.jpg,
Dabls Mbad African Bead Museum,Teardrop glass pendants,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923352595-UOIX0BK0VMRZFE70TFA3/Teardrop+glass+pendants+%243.00+ea+%28part+2%29.jpg,
Dabls Mbad African Bead Museum,Teardrop glass pendants,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923391194-A7J1ZQNA58F6RHHRPXSL/Teardrop+glass+pendants+%243.00+ea+.jpg,
Dabls Mbad African Bead Museum,Navel blue donut beads,"african american civil rights, african culture, african american culture",,,,$3.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923429529-HJWX4FIT7A7S81HPDC50/Navel+blue+donut+beads+%243.00+ea+.jpg,
Dabls Mbad African Bead Museum,Matted and glossed glass beads - price per strand,"african american civil rights, african culture, african american culture",,,,$89.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923478159-Y4SY740LFUCSBJ3SCKWT/Matted+and+glosses+glass+beads+%2489.00+.jpg,
Dabls Mbad African Bead Museum,Jadestone beads-entire strand,"african american civil rights, african culture, african american culture",,,,$250.00,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923550499-WIP0EPIUDEI80UDJEXFA/Jadestone+beads+%24250.00+.jpg,
Dabls Mbad African Bead Museum,Lucite beads,"african american civil rights, african culture, african american culture",,,,$0.75,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923630974-FZUPL8N463LQO6NFAM65/Lucite+beads+%24.75+ea+.jpg,
Dabls Mbad African Bead Museum,Lucite beads,"african american civil rights, african culture, african american culture",,,,$0.75,https://images.squarespace-cdn.com/content/v1/5727a16062cd9496784d0916/1584923690484-ADCKOSCPZGSB4GZNUNPA/Lucite+beads+%24.75+ea+%28part+2%29.jpg,
