artisan,product name,principles,materials,processes,industrial scale items,regular price,regular price item,last price,unit price,image,url
olive mode,3 Piece Cosmetic Bag,"woman owned, black owned",", , ,",", , ,",,Regular price,$44.00 USD,$44.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_6c86c33a-b59f-497c-b4d8-fbb299e3a2e1.jpg?v=1652703778&width=533,https://www.olivemodeboutique.com/products/3-piece-cosmetic-bag
olive mode,A Night Out Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,From $32.00 USD,$32.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_d1eaf102-6764-4fd2-a062-c12f77f63a01.jpg?v=1634956002&width=533,https://www.olivemodeboutique.com/products/red-asymmetrical-dress
olive mode,Adhesive Lift Tape,"woman owned, black owned",", , ,",", , ,",,Regular price,$8.75 USD,$8.75 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/1eda4a39a2b169745a96491f97adadb1e7c0f4020306d9ffa8c27c6ade6466e7.jpg?v=1634168465&width=533,https://www.olivemodeboutique.com/products/2037-adhesive-breast-lift-tape-black
olive mode,Amber Striped Clutch,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,$65.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_7e832ccb-c1c4-4e7f-9c63-ab4b982b05ec.heic?v=1655267694&width=533,https://www.olivemodeboutique.com/products/urban-expressions-mayotte-clutch
olive mode,Ariel Ombré Mermaid Crochet Cover Up Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$74.00 USD,$74.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/image_abc50e53-405f-4996-a9e9-a6040d87ad3b.jpg?v=1684082579&width=533,https://www.olivemodeboutique.com/products/ombre-dyed-crochet-mermaid-dress
olive mode,Aspen Bracelet,"woman owned, black owned",", , ,",", , ,",,Regular price,$40.00 USD,$40.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/dcee8e69028e51dea8ce73ac1adb89a73c9e5e29a78b1e109e818d5dde959435.jpg?v=1633798333&width=533,https://www.olivemodeboutique.com/products/aspen-bracelet
olive mode,Aspen Ring Mini,"woman owned, black owned",", , ,",", , ,",,Regular price,$35.00 USD,$35.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/FullSizeRender_7cfdfbf0-876f-4421-92bc-d7edf6faf406.heic?v=1697934412&width=533,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-aspen-ring-mini
olive mode,Axel Nail Bracelet: Silver,"woman owned, black owned",", , ,",", , ,",,Regular price,$65.00 USD,$65.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/FullSizeRender_ce4101d8-1ec8-4aa3-ad1e-fe79917a12c6.heic?v=1697930875&width=533,https://www.olivemodeboutique.com/products/axel-nail-bracelet-silver
olive mode,Bettany Bodysuit,"woman owned, black owned",", , ,",", , ,",,Regular price,$29.00 USD,$29.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/419b80a2bb442462363fd576abbef5fa2a66b3df7c45486f918c0ed3c00406f5.jpg?v=1634168458&width=533,https://www.olivemodeboutique.com/products/2014-bettany-bodysuit-black
olive mode,Black Mesh Cosmetic Bag Set,"woman owned, black owned",", , ,",", , ,",,Regular price,$12.98 USD,$12.98 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/image_b2df18f9-ce19-4091-a369-68b70d234817.heic?v=1692382330&width=533,https://www.olivemodeboutique.com/products/unishe-black-mesh-washing-bag-cosmetic-bag-moq-3pcs-zzkf455
olive mode,Blue Lagoon Mesh Midaxi Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$95.00 USD,$95.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/image_59313de9-baf6-40d5-bc3b-5a64ada2dd67.jpg?v=1684122482&width=533,https://www.olivemodeboutique.com/products/oasis
olive mode,Boob Savior Adhesive Remover,"woman owned, black owned",", , ,",", , ,",,Regular price,$13.99 USD,$13.99 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/63eb655703e5a346dba2da9ce4d655d830aac2ce3f5fe5404b804d8097a00413.jpg?v=1696595014&width=533,https://www.olivemodeboutique.com/products/boob-savior-adhesive-remover
olive mode,Bora Bora Kelly Green Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,$70.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_e896a652-69d2-4745-bcc1-35de98140c01.heic?v=1678279979&width=533,https://www.olivemodeboutique.com/products/urban-expressions-fawna-crossbody
olive mode,Bora Bora Sky Blue Crossbody,"woman owned, black owned",", , ,",", , ,",,Regular price,$70.00 USD,$70.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_457b7ecb-d80b-4e5e-bcb5-802caf42c7d5.heic?v=1678281014&width=533,https://www.olivemodeboutique.com/products/urban-expressions-fawna-crossbody-1
olive mode,Botanical Fragrance Roller,"woman owned, black owned",", , ,",", , ,",,Regular price,$14.00 USD,$14.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_e826c545-fe52-4c83-8416-1ee1747cd710.jpg?v=1634268086&width=533,https://www.olivemodeboutique.com/products/cocoa-beach-fragrance-roller
olive mode,Braided Band Bracelet,"woman owned, black owned",", , ,",", , ,",,Regular price,$36.00 USD,$36.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/IMG-2817.heic?v=1697933505&width=533,https://www.olivemodeboutique.com/products/braided-band-bracelet
olive mode,Bubble Evening Bag: Silver,"woman owned, black owned",", , ,",", , ,",,Regular price,$66.00 USD,$66.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/39b27db6a89ce1de69d4b8fd630c5fb55febfd9ed84bd2a3c9b1a09aa1e9dec4.jpg?v=1696595843&width=533,https://www.olivemodeboutique.com/products/daisy-evening-bag-silver
olive mode,Butterfly Crystal Bag: Fuchsia,"woman owned, black owned",", , ,",", , ,",,Regular price,$80.00 USD,$80.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/8b7662a0d5973e1067816738c05587d036bd6b95e52835433b3bff8dbb8edd7b.jpg?v=1697332288&width=533,https://www.olivemodeboutique.com/products/vanessa-evening-bag-fuchsia
olive mode,Cabana Mesh Mini Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$48.00 USD,$48.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_c1012a34-bc86-4184-8c8a-ab60cf00094d.jpg?v=1652617140&width=533,https://www.olivemodeboutique.com/products/amy-lynn-dalia-dress
olive mode,Cabo Crop Top Set,"woman owned, black owned",", , ,",", , ,",,Regular price,$22.00 USD,$22.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_6d14d050-4f23-4e1b-a4d0-c368961fde1a.jpg?v=1627896328&width=533,https://www.olivemodeboutique.com/products/crop-top-set
olive mode,CALA 2-in-1 Rose Quartz Sonic Facial Massager,"woman owned, black owned",", , ,",", , ,",,Regular price,$22.00 USD,$22.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/982dc1e989189205a2b5343fe683ffad8dfa32d127a7660839f19f24ab9b19a0.png?v=1680700211&width=533,https://www.olivemodeboutique.com/products/best-beauty-group-cala-2-in-1-rose-quartz-sonic-facial-massager
olive mode,CALA 5 PIECE HYDROGEL LIP MASK ROSE COLLAGEN HYDRATING,"woman owned, black owned",", , ,",", , ,",,Regular price,$10.00 USD,$10.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/dfd11aa1db1cdc6fa06a88a7c334ab1a19701359b93bbdda31d7740c64336f94.png?v=1696595064&width=533,https://www.olivemodeboutique.com/products/cala-5-piece-hydrogel-lip-mask-rose-collagen-hydrating
olive mode,Cher Black Feather Crop Top,"woman owned, black owned",", , ,",", , ,",,Regular price,$68.00 USD,$68.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/IMG-3196.jpg?v=1702119185&width=533,https://www.olivemodeboutique.com/products/dressy-feather-trim-crop-top
olive mode,Chunky Tube Hoops Medium,"woman owned, black owned",", , ,",", , ,",,Regular price,$44.00 USD,$44.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/IMG-2819.heic?v=1697933637&width=533,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-chunky-tube-hoops-medium
olive mode,Chunky Twisted Ring,"woman owned, black owned",", , ,",", , ,",,Regular price,$43.00 USD,$43.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/files/IMG-2816.heic?v=1697931636&width=533,https://www.olivemodeboutique.com/products/brenda-grands-jewelry-chunky-twisted-ring
olive mode,Cocktail Hour Chain Dress,"woman owned, black owned",", , ,",", , ,",,Regular price,$38.00 USD,$38.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/image_be268bda-2e57-4c24-9012-b4cd1dd686dc.jpg?v=1634955910&width=533,https://www.olivemodeboutique.com/products/chain-black-dress
olive mode,Cocktail Picks,"woman owned, black owned",", , ,",", , ,",,Regular price,$9.00 USD,$9.00 USD,Regular price,https://www.olivemodeboutique.com/cdn/shop/products/04971454be2207790869f9729da50a25b839ae07f2e805c18e3b85602676c313.jpg?v=1696595754&width=533,https://www.olivemodeboutique.com/products/cocktail-picks-wholesale
